Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
49628,Cloud Atlas,David  Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",0,4.01,Random House,Paperback,509,2004,2004,,2025/04/21,to-read,to-read (#35),to-read,,,,0,0
11,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,,2025/04/21,to-read,to-read (#34),to-read,,,,0,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",0,4.03,Vintage International,Paperback,123,1989,1942,,2025/04/21,to-read,to-read (#33),to-read,,,,0,0
33052,Murder in the Cathedral,T.S. Eliot,"Eliot, T.S.",,"=""0156632772""","=""9780156632775""",0,3.71,"Harcourt, Brace Jovanovich/Harvest",Paperback,148,1964,1936,,2025/04/21,to-read,to-read (#32),to-read,,,,0,0
61153739,Outlive: The Science & Art of Longevity,Peter Attia,"Attia, Peter",Bill Gifford,"=""0593236599""","=""9780593236598""",0,4.31,Harmony,Hardcover,496,2023,2023,,2025/04/21,to-read,to-read (#31),to-read,,,,0,0
3828902,Thinking In Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana Wright,"=""1603580557""","=""9781603580557""",0,4.18,Chelsea Green Publishing,Paperback,218,2008,2008,,2025/04/21,to-read,to-read (#30),to-read,,,,0,0
60141828,The Tunnel Ahead,Alice Glaser,"Glaser, Alice",,"=""""","=""""",0,3.95,,Paperback,8,2012,,,2025/03/25,to-read,to-read (#29),to-read,,,,0,0
220170629,Neón Genesis Evangelion ANIMA Vol. 1,Ikuto Yamashita,"Yamashita, Ikuto",Khara,"=""6075823638""","=""9786075823638""",4,3.77,Panini Manga,Paperback,262,2024,,2024/12/29,2024/12/27,,,read,,,,1,0
55181781,"Owarimonogatari, Part 2: End Tale",NisiOisiN,"NisiOisiN, NisiOisiN",,"=""1646597303""","=""9781646597307""",5,4.34,Kodansha Comics,Kindle Edition,375,2020,2014,2025/02/02,2025/01/07,,,read,,,,1,0
61179,Ringworld (Ringworld #1),Larry Niven,"Niven, Larry",,"=""0575077026""","=""9780575077027""",0,3.94,Gollancz,Paperback,288,2005,1970,,2025/01/09,to-read,to-read (#28),to-read,,,,0,0
8935689,"Consider Phlebas (Culture, #1)",Iain M. Banks,"Banks, Iain M.",,"=""1857231384""","=""9781857231380""",0,3.85,Orbit,Paperback,467,1988,1987,,2025/01/09,to-read,to-read (#27),to-read,,,,0,0
